tweet_text,aspect,sentiment
just got new galaxys10 im loving camera weird spot apps shut top part ,camera,positive
my samsungmobile galaxys10 major screen brightness issue 1200 nit screen significantly dimmed,screen,negative
best samsung galaxys10 wireless charger wireless charger samsung,wireless powershare,positive
this definitely worth money fingerprint sensor galaxys10 work fine like everything else ,ultrasonic fingerprint sensor,positive
galaxys10 punch hole camera wallpaper fun mess around,camera,neutral
unpacked one best thing business perspective galaxys10 ultrasonic fingerprint,ultrasonic fingerprint sensor,positive
family day park shot with galaxys10 camera beautiful quality,camera,positive
after 33 hour battery life still got 22 left madness galaxys10,battery,neutral
galaxys10 fabulous camera,camera,positive
galaxys10 would grateful phone decent battery amp look pretty decent,battery,positive
definitely camera 1001 selfies amazing photo galaxys10,camera,positive
phenomenal camera proper game changer galaxys10,camera,positive
love 61inch infinityo display competition win galaxys10 ,infinity display,positive
power share s10 nice charge quickly as well samsung galaxys10 loving new galaxy s10,wireless powershare,positive
samsungmobile good battery life help alotntop ph never enough memory ,battery,positive
galaxys10 battery died park station waiting someone,battery,negative
way interview getting closer battery died worst day ever never got,battery,negative
yesterday was expecting money person asked account number battery died ,battery,negative
galaxys10 got stuck highway battery dead couldnt call help had,battery,negative
world great battery life especially work traveling work,battery,positive
new galaxy s10 large battery ai managed ensuring last day longest ever stayed ,battery,neutral
galaxys10 many time battery died bad timei live security complex there number ,battery,negative
 really needed phone battery charged watched linkin park liveit died half way,battery,neutral
samsung galaxy s10 solid battery lifethe battery based prediction ,battery,positive
ive gone weekend varsity party house party battery never last long,battery,negative
hate phone battery died always happens ,battery,negative
enjoy longerlasting battery samsungmobilesa galaxys10 automatically optimises app battery,battery,positive
anyone using galaxy s10 finding battery life getting mixed results and monthngalaxys10,battery,neutral
 im tired annoying low battery samsungmobilesa galaxys10,battery,negative
always denies battery run need galaxys10 life ,battery,negative
galaxy s10 huge feature like massive battery capacity super sized screen  competition win galaxys10 ,battery,positive
s10 5g great size quad rear camera longer battery life sound amazing love it,battery,positive
engineers_feed attempted fool new samsung galaxy s10 ultrasonic fingerprint scanner using 3d printing succeeded now,ultrasonic fingerprint sensor,neutral
galaxys10 one cause love inscreen fingerprint sensor screen ,ultrasonic fingerprint sensor,positive
galaxys10 ultrasonic fingerprint sensor fooled 3dprinted fingerprint galaxy s10,ultrasonic fingerprint sensor,negative
revolutionary indisplay ultrasonic fingerprint sensor make vaultlike security totally invisible,ultrasonic fingerprint sensor,positive
s10 look incredible bigger screen amp long battery life totally get vote would ,battery,positive
galaxys10 love battery life the ultrafast network the ram size megapixels camera,battery,positive
love galaxys10 screen fingerprint sensor improved display quality samsungmobilesa,ultrasonic fingerprint sensor,positive
i love camera layout especially holepunch selfie cam ni think ultra sonic fingerprint sensor also,camera,positive
its much easier faster use fingerprint unlock phone wouldnot want anyone use phone for,ultrasonic fingerprint sensor,negative
id love ultrasonic fingerprint scanner bcz keep forgetting password galaxys10,ultrasonic fingerprint sensor,positive
galaxys10 galai like fact tht h long battery life nd always move ,battery,positive
galaxys10 love camera reverse charge battery good battery life,camera,positive
fingerprint scanner would help life blocking child logging ,ultrasonic fingerprint sensor,positive
screen fingerprint sensor amazing basically fool proof pickup line galaxys10 samsungmobilesa,ultrasonic fingerprint sensor,positive
galaxys10 ultrasonic fingerprint scanner really come handy liked,ultrasonic fingerprint sensor,positive
ultrasonic fingerprint thee best one ever touch phone without permission thanks galaxys10,ultrasonic fingerprint sensor,positive
i love space privacy ultrasonic fingerprint scanner ensure phone safe secure,ultrasonic fingerprint sensor,positive
worst memory ever fingerprint access integrated mobile internet banking best thing ,ultrasonic fingerprint sensor,negative
galaxys10 fingerprint make login much easier ,ultrasonic fingerprint sensor,positive
galaxy s10 phone screen stunning supior battery life ,battery,positive
tricamera feature 12mp double 16mp plus outrageous selfie camera 10mp 8mp battery sharing ,camera,positive
love look phone amazing camera battery plus one ui amazing,camera,positive
galaxys10  love long battery life,battery,positive
fast charge incredible battery life help get everyday life student since note,battery,positive
ive big fan samsung competitiveness camera ,camera,positive
galaxys10 love dual selfie camera 10 8 mp dual camera give perfect,camera,positive
love samsung love kfm love 2 front 3 rear lens plus intelligent prograde camera,camera,positive
love galaxys10 screen finger print sensor samsungmobilesa,ultrasonic fingerprint sensor,positive
love camera best ever seen smartphone galaxys10,camera,positive
love fantastic selfie camera rgb camera well infinity display galaxys10 ,camera,positive
flawless picture galaxys10 world battery life top notch galaxys10,camera,positive
love camera definitely next level ,camera,positive
